LG전자 2020 그램15 15Z995-LR20K,펜티엄 골드,4,256,939320,1099,15.6,내장
삼성전자 2021 갤럭시북 NT750XDA-KH28,펜티엄 골드,8,256,1086820,1550,15.6,내장
삼성전자 노트북 플러스 NT550XCJ-KC24 8GB램,펜티엄 골드,8,256,818390,1810,15.6,내장
삼성전자 노트북5 NT550EBE-K24,펜티엄 골드,4,128,699000,1950,15.6,내장
삼성전자 노트북5 NT550EBE-K24A,펜티엄 골드,4,500,698210,1950,15.6,내장
레노버 아이디어패드 Slim3-14IML PWS,펜티엄 골드,4,128,449000,1500,14,내장
레노버 아이디어패드 Slim3-14IML PD WIN10,펜티엄 골드,4,128,469000,1500,14,내장
레노버 아이디어패드 Slim3-15IML PD WIN10,펜티엄 골드,4,128,525260,1850,15.6,내장
삼성전자 노트북5 NT550EAA-K28C,펜티엄 골드,8,1000,673570,1950,15.6,내장
한성컴퓨터 TFX5135UW,i5-11세대,16,500,1029000,1700,15.6,내장
삼성전자 노트북5 NT550EBE-K28BS,펜티엄 골드,8,256,699000,1900,15.6,내장
삼성전자 노트북5 NT550EBA-K28W,펜티엄 골드,8,1000,699000,1950,15.6,내장
삼성전자 노트북5 metal NT550XAZ-AD2A WIN10,펜티엄 골드,4,128,638990,1900,15.6,내장
삼성전자 노트북9 metal NT900X5J-K28W,펜티엄 골드,8,256,1165390,1290,15,내장
삼성전자 노트북5 NT550EBA-K24B,펜티엄 골드,4,500,699000,1950,15.6,내장
LG전자 2020 울트라PC 15UD590-LX20K WIN10,펜티엄 골드,4,128,845920,1750,15.6,내장
삼성전자 노트북5 NT500R5M-K25S,펜티엄 골드,4,128,735080,1860,15.6,내장
LG전자 2019 그램 14Z990-L.AR2MK,펜티엄 골드,8,256,1200000,995,14,내장
삼성전자 2019 노트북 Pen S NT930SBE-KT2W,펜티엄 골드,8,256,1450000,1140,13.3,내장
삼성전자 2018 노트북9 Always NT900X5U-K28W,펜티엄 골드,8,256,1567020,1250,15,내장
삼성전자 2018 노트북9 Always NT900X5U-K24M,펜티엄 골드,4,256,1388000,1250,15,내장
LG전자 2017 울트라PC 13UD580-LX10K WIN10,펜티엄 골드,4,128,899990,1300,13.3,내장
MSI 프레스티지 14 EVO A11M-i5 WIN10,i5-11세대,16,512,1199000,1290,14,내장
레노버 요가 Slim7 Carbon13ITL5 82EV0034KR WIN10,i5-11세대,16,1000,1462000,970,13,내장
삼성전자 갤럭시북 프로360 NT930QDB-K71A,i7-11세대,16,512,2067060,1040,13.3,내장
LG전자 2021 그램14 14Z90P-GA56K,i5-11세대,8,512,1651460,999,14,내장
삼성전자 노트북 플러스2 NT550XDA i7 WIN10 16GB램,i7-11세대,16,256,1312700,1810,15.6,내장
LG전자 2021 울트라PC 15U50P-KA70K 16GB램,i7-11세대,16,256,1419000,1850,15.6,외장
LG전자 그램360 14T90P-GA76K,i7-11세대,16,512,1974620,1250,14,내장
삼성전자 노트북 플러스2 NT560XDA-XC58,i5-11세대,8,256,1400000,1850,15.6,외장
레노버 요가 Slim7 Carbon13ITL5 82EV002UKR,i5-11세대,8,256,1138807,970,13,내장
레노버 요가 7 15ITL I7 PRO W10,i7-11세대,16,512,1467216,1900,15.6,내장
